#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
C1|BO02||BHN|-34.7924|-70.7814|886.0|0.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2014-01-16T00:00:00|
C1|BO02||BHZ|-34.7924|-70.7814|886.0|0.0||-90.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2014-01-16T00:00:00|
C1|BO03||BHE|-34.49605|-71.9612|128.0|0.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2014-10-29T00:00:00|2021-05-12T14:08:26
C1|BO03||BHE|-34.49605|-71.9612|128.0|0.0|90.0|0.0|Trillium Compact, 120 s, 754 V/m/s-Q330SR, gain 1,|316282000.0|0.05|m/s|40.0|2021-05-12T14:48:06|
C1|BO03||BHN|-34.49605|-71.9612|128.0|0.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2014-10-29T00:00:00|2021-05-12T14:08:26
C1|BO03||BHN|-34.49605|-71.9612|128.0|0.0|0.0|0.0|Trillium Compact, 120 s, 754 V/m/s-Q330SR, gain 1,|316282000.0|0.05|m/s|40.0|2021-05-12T14:48:06|
C1|BO03||BHZ|-34.49605|-71.9612|128.0|0.0|0.0|-90.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2014-10-29T00:00:00|2021-05-12T14:08:26
C1|BO03||BHZ|-34.49605|-71.9612|128.0|0.0|0.0|-90.0|Trillium Compact, 120 s, 754 V/m/s-Q330SR, gain 1,|316282000.0|0.05|m/s|40.0|2021-05-12T14:48:06|
C1|BO04||BHE|-33.98884|-70.60902|625.0|156.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2015-09-25T00:00:00|
C1|BO04||BHN|-33.98884|-70.60902|625.0|156.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2015-09-25T00:00:00|
C1|BO04||BHZ|-33.98884|-70.60902|625.0|156.0||-90.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2015-09-25T00:00:00|
C1|CO02||BHE|-31.2037|-71.0003|1190.0|0.0|90.0|0.0|CSN|501719000.0|0.2|m/s|40.0|2013-06-19T00:00:00|
C1|CO02||BHN|-31.2037|-71.0003|1190.0|0.0|0.0|0.0|CSN|501719000.0|0.2|m/s|40.0|2013-06-19T00:00:00|
C1|CO02||BHZ|-31.2037|-71.0003|1190.0|0.0||-90.0|CSN|501719000.0|0.2|m/s|40.0|2013-06-19T00:00:00|
C1|CO03||BHE|-30.8389|-70.6891|1003.0|0.0|90.0|0.0|Nanometrics Trillium 120 Sec Response/Quanterra 33|501719000.0|0.2|m/s|40.0|2014-02-11T00:00:00|
