time, latitude, longitude, depth, depthUnits, magnitude, magnitudeType
2020-12-30T12:03:16.683Z, -32.01540, -72.03940,  10.00, KILOMETER,   4.4, mb
2020-12-16T07:58:55.461Z, -32.85770, -72.03840,  14.95, KILOMETER,   4.5, mb
2020-12-16T06:50:38.623Z, -32.85200, -72.04150,  10.00, KILOMETER,   4.2, mb
2020-12-12T07:13:10.266Z, -32.29410, -71.80580,  19.77, KILOMETER,   4.5, Mwr
2020-11-22T21:56:25.792Z, -30.66760, -71.88350,  13.24, KILOMETER,   4.4, mb
2020-11-16T05:34:45.504Z, -34.32580, -72.59960,  10.00, KILOMETER,   4.5, Mwr
2020-11-11T23:48:05.930Z, -33.59220, -70.40960,  10.00, KILOMETER,   3.2, ML
2020-11-11T02:17:08.516Z, -30.60410, -72.09270,  10.00, KILOMETER,   4.3, Mwr
2020-11-03T14:56:28.169Z, -31.99550, -71.74310,  18.16, KILOMETER,   4.1, mb
2020-11-02T08:09:35.877Z, -32.82480, -72.10970,  18.43, KILOMETER,   3.8, Mwr
2020-10-28T13:45:32.863Z, -31.37330, -72.45840,  16.20, KILOMETER,   4.1, Mwr
2020-10-19T21:59:05.173Z, -31.73400, -70.61070,  10.00, KILOMETER,   4.1, mb
2020-10-13T19:07:23.248Z, -34.00360, -72.22350,  19.75, KILOMETER,   4.1, Mwr
2020-10-10T06:48:42.137Z, -33.73170, -72.46000,   9.24, KILOMETER,   4.5, Mwr
2020-10-06T05:16:25.053Z, -32.26840, -71.82690,  19.48, KILOMETER,   4.2, Mwr
2020-09-28T16:49:16.778Z, -33.00430, -72.05900,  18.23, KILOMETER,   4.8, mb
2020-09-22T06:40:22.460Z, -31.80100, -72.36400,  10.61, KILOMETER,   4.3, mb
2020-09-17T18:44:46.948Z, -31.10370, -72.87230,  10.08, KILOMETER,   4.4, mb
2020-08-17T03:28:13.575Z, -33.22610, -70.10100,  10.00, KILOMETER,   4.1, mb
2020-08-15T11:11:58.467Z, -33.22320, -70.15870,  10.00, KILOMETER,   4.8, Mww
2020-08-12T20:54:30.128Z, -30.16090, -72.20350,  10.00, KILOMETER,   4.4, mb
2020-08-10T18:56:11.279Z, -33.93900, -68.46460,  10.90, KILOMETER,   4.3, mb
2020-08-09T18:08:40.232Z, -32.91570, -71.90130,  10.00, KILOMETER,   4.3, mb
2020-08-02T08:46:49.417Z, -30.54200, -72.00420,  10.00, KILOMETER,   4.2, Mwr
2020-07-23T06:00:06.250Z, -31.91140, -72.21290,  10.00, KILOMETER,   4.3, mb
2020-07-19T10:09:57.134Z, -32.88870, -68.16950,  10.00, KILOMETER,   4.3, mb
2020-07-02T20:05:26.896Z, -34.51110, -73.40970,  10.00, KILOMETER,   4.3, mb
2020-07-01T02:03:37.192Z, -33.37200, -72.50020,  13.98, KILOMETER,   4.2, mb
2020-06-30T20:34:47.980Z, -33.36560, -72.55440,   9.85, KILOMETER,   4.3, mb
2020-06-29T11:52:37.149Z, -33.34450, -72.43100,  14.28, KILOMETER,   4.3, mb
2020-06-27T20:07:12.622Z, -30.17410, -72.17070,  11.34, KILOMETER,   3.9, Mwr
2020-06-27T14:12:07.075Z, -32.79150, -68.62170,  10.00, KILOMETER,   3.4, ML
2020-05-22T04:52:51.307Z, -31.37960, -67.37030,  10.00, KILOMETER,   4.5, mb
2020-04-21T02:58:24.705Z, -32.79190, -68.55390,  10.00, KILOMETER,   3.4, ML
2020-04-07T08:01:05.060Z, -31.75910, -68.06200,  10.00, KILOMETER,   4.4, mb
2020-03-28T03:18:37.364Z, -32.40130, -72.08520,  10.00, KILOMETER,   4.4, mb
2020-03-24T06:52:15.674Z, -30.60160, -71.96670,  10.00, KILOMETER,   5.0, Mww
2020-03-11T17:04:25.044Z, -30.29570, -72.26270,   5.46, KILOMETER,   4.6, Mwr
2020-03-09T15:29:16.048Z, -30.42590, -72.21100,   8.75, KILOMETER,   4.3, mb
2020-03-06T19:04:06.789Z, -30.32770, -72.20580,  16.60, KILOMETER,   4.4, mb
2020-01-29T20:53:36.884Z, -30.23660, -72.14110,  11.49, KILOMETER,   4.9, Mwr
2020-01-14T02:04:03.325Z, -34.78550, -74.01090,  10.00, KILOMETER,   4.5, mb
2020-01-02T19:49:05.645Z, -30.39660, -72.07690,  10.00, KILOMETER,   4.1, ML
